name,length
T1157s1-D2_A_1016_1019,4
T1137s5-D2_A_327_335,9
T1137s4-D3_A_403_407,5
T1157s1-D1_A_301_306,6
T1139-D1_A_111_119,9
T1139-D1_A_255_260,6
T1180-D1_A_93_96,4
T1137s4-D1_A_141_145,5
T1188-D1_A_256_269,14
T1145-D2_A_444_448,5
T1188-D1_A_80_96,17
T1137s5-D1_A_128_135,8
T1145-D2_A_606_611,6
T1157s1-D1_A_290_294,5
T1137s4-D1_A_107_114,8
T1194-D1_A_61_64,4
T1170-D1_A_123_126,4
T1137s1-D1_A_129_136,8
T1188-D1_A_412_415,4
T1157s1-D1_A_102_107,6
T1170-D1_A_134_137,4
T1157s1-D1_A_145_167,23
T1139-D1_A_145_159,15
T1137s6-D1_A_48_57,10
T1188-D1_A_150_153,4
T1188-D1_A_350_357,8
T1137s7-D1_A_68_72,5
T1194-D1_A_121_124,4
T1106s2-D1_A_74_77,4
T1124-D1_A_113_120,8
T1145-D2_A_291_299,9
T1188-D1_A_551_554,4
T1188-D1_A_209_212,4
T1109-D1_A_153_157,5
T1137s4-D3_A_435_444,10
T1157s2-D2_A_169_174,6
T1137s2-D2_A_300_313,14
T1157s1-D1_A_389_393,5
T1157s1-D1_A_611_614,4
T1157s1-D1_A_434_438,5
T1150-D1_A_238_241,4
T1180-D1_A_306_309,4
T1109-D1_A_40_43,4
T1104-D1_A_48_58,11
T1123-D1_A_96_100,5
T1129s2-D1_A_304_307,4
T1137s7-D1_A_198_202,5
T1157s2-D2_A_152_156,5
T1188-D1_A_428_432,5
T1157s1-D1_A_33_36,4
T1157s2-D2_A_133_137,5
T1145-D2_A_621_625,5
T1137s7-D1_A_52_57,6
T1145-D2_A_509_514,6
T1150-D1_A_196_202,7
T1137s7-D1_A_87_97,11
T1124-D1_A_71_74,4
T1180-D1_A_235_239,5
T1188-D1_A_120_125,6
T1150-D1_A_176_185,10
T1124-D1_A_355_358,4
T1129s2-D1_A_621_624,4
T1188-D1_A_470_476,7
T1137s9-D1_A_157_160,4
T1137s5-D1_A_100_105,6
T1145-D2_A_533_536,4
T1170-D1_A_182_185,4
T1123-D1_A_131_138,8
T1145-D1_A_27_35,9
T1145-D2_A_385_389,5
T1150-D1_A_118_124,7
T1145-D2_A_331_335,5
T1150-D1_A_143_146,4
T1145-D1_A_51_55,5
T1188-D1_A_330_334,5
T1137s8-D1_A_40_43,4
T1137s7-D1_A_229_233,5
T1180-D1_A_116_121,6
T1180-D1_A_39_42,4
T1145-D2_A_494_497,4
T1150-D1_A_81_85,5
T1124-D1_A_88_91,4
T1129s2-D1_A_130_134,5
T1145-D2_A_369_376,8
T1145-D2_A_550_553,4
T1121-D2_A_223_226,4
T1150-D1_A_16_22,7
T1137s5-D2_A_304_316,13
T1137s1-D1_A_138_143,6
T1109-D1_A_52_56,5
T1145-D2_A_111_116,6
T1137s1-D1_A_56_66,11
T1188-D1_A_486_493,8
T1137s4-D2_A_318_323,6
T1157s1-D2_A_715_719,5
T1145-D2_A_188_194,7
T1137s6-D2_A_301_327,27
T1188-D1_A_387_392,6
T1123-D1_A_102_106,5
T1137s6-D1_A_75_78,4
T1139-D1_A_298_305,8
T1188-D1_A_108_111,4
T1129s2-D1_A_284_291,8
T1106s1-D1_A_89_92,4
T1157s1-D3_A_844_848,5
T1137s3-D1_A_29_40,12
T1157s1-D1_A_510_513,4
T1157s1-D1_A_455_458,4
T1121-D1_A_59_65,7
T1137s1-D1_A_43_48,6
T1137s6-D2_A_258_261,4
T1137s3-D1_A_131_134,4
